RollNo,CGPA
U18ME001,5.59
U18ME002,7.92
U18ME003,6.84
U18ME004,8.44
U18ME005,9.72
U18ME006,8.84
U18ME007,9.20
U18ME008,9.20
U18ME009,8.36
U18ME010,7.56
U18ME011,7.84
U18ME012,7.32
U18ME013,7.64
U18ME014,6.80
U18ME015,7.88
U18ME016,8.24
U18ME017,9.16
U18ME018,6.50
U18ME019,7.64
U18ME020,7.28
U18ME021,7.84
U18ME022,9.36
U18ME023,6.88
U18ME024,8.68
U18ME025,9.60
U18ME026,9.04
U18ME027,8.08
U18ME028,9.28
U18ME029,7.96
U18ME030,7.80
U18ME031,7.84
U18ME032,7.96
U18ME033,6.92
U18ME034,8.76
U18ME035,7.64
U18ME036,8.56
U18ME037,8.32
U18ME038,6.82
U18ME039,6.16
U18ME040,6.64
U18ME041,6.20
U18ME042,5.68
U18ME043,6.17
U18ME045,7.56
U18ME046,7.96
U18ME047,8.00
U18ME048,7.48
U18ME049,6.00
U18ME050,8.76
U18ME051,8.36
U18ME052,6.20
U18ME053,9.12
U18ME054,8.56
U18ME055,8.60
U18ME056,7.12
U18ME057,6.05
U18ME058,6.05
U18ME059,6.25
U18ME060,8.08
U18ME061,8.04
U18ME062,7.20
U18ME063,8.20
U18ME064,9.08
U18ME065,8.68
U18ME066,7.68
U18ME067,8.68
U18ME068,6.60
U18ME069,9.40
U18ME070,7.28
U18ME071,9.16
U18ME072,7.24
U18ME073,8.14
U18ME074,6.72
U18ME075,5.88
U18ME076,9.00
U18ME077,9.08
U18ME078,7.32
U18ME079,6.06
U18ME080,7.84
U18ME081,6.28
U18ME082,6.86
U18ME083,6.16
U18ME084,7.44
U18ME085,8.28
U18ME086,7.88
U18ME087,8.08
U18ME088,7.32
U18ME089,6.68
U18ME090,8.48
U18ME091,0.00
U18ME092,8.24
U18ME093,6.88
U18ME094,5.36
U18ME095,6.40
U18ME096,6.52
U18ME097,8.96
U18ME098,7.24
U18ME099,9.44
U18ME100,8.92
U18ME101,8.00
U18ME102,7.16
U18ME103,6.92
U18ME104,8.48
U18ME105,7.56
U18ME106,7.36
U18ME107,7.09
U18ME108,6.68
U18ME109,6.64
U18ME110,8.24
U18ME111,7.04
U18ME112,6.88
U18ME113,7.24
U18ME114,6.59
U18ME115,8.88
U18ME116,8.20
U18ME117,7.64
U18ME118,7.48
U18ME119,7.20
U18ME120,6.52
U18ME121,6.84
U18ME122,5.27
U18ME123,6.80
U18ME124,5.69
U18ME125,6.20
U18ME126,7.24
U18ME127,8.84
U18ME128,6.40
U18ME129,7.24
U18ME130,8.52
U18ME131,7.20
U18ME132,6.11
U18ME133,8.92
U18ME134,7.00
U18ME135,7.68
U18ME136,7.36
U18ME137,9.36
U18ME138,8.40
U18ME139,8.44
U18ME140,8.68
U18ME141,7.28
U18ME142,6.20
U18ME143,7.80
U18ME144,5.00
U18ME145,7.80
U18ME146,8.20
U18ME147,6.28
U18ME148,7.56
U18ME149,8.68
U18ME150,8.12
U18ME151,7.64
U18ME152,7.76
U18ME153,7.32
U18ME154,6.24
U18ME155,7.64
U18ME156,7.40
U18ME157,7.52
U18ME158,6.07
U18ME159,6.64
U18ME160,6.05
U18ME161,6.68
U18ME162,5.92
U18ME163,5.33
U18ME164,8.28
U18ME165,6.00
U18ME166,6.23
U18ME167,6.00
U18ME168,7.84
U18ME169,5.60
U18ME170,7.96
U18ME171,7.88
U18ME172,6.20
U18ME173,6.53
U18ME174,7.24
U18ME175,7.20
U18ME176,6.69
U18ME177,7.68
U18ME178,6.11
U18ME179,7.80
U18ME180,7.71
U18ME181,9.28
U18ME182,8.40
U18ME183,7.23
U18ME184,6.80
U18ME185,5.75
U18ME186,8.32
U18ME187,7.68
U18ME188,6.36
U18ME189,7.20
U18ME190,7.00
U18ME191,7.36
U18ME192,5.91
U18ME193,7.08
U18ME194,6.18
U18ME195,5.08
U18ME196,5.86
U18ME197,6.12
U18ME198,8.08
U18ME199,5.82
U18ME200,8.32
U18ME201,7.16
U18ME202,6.92
U18ME203,6.00
U18ME204,8.48
U18ME205,7.36
U18ME206,8.08
U18ME207,8.84
U18ME208,7.20
U18ME209,8.12
U18ME210,5.84
U18ME211,8.20
U18ME212,7.08
U18ME213,8.32
U18ME214,8.12
U18ME215,6.50
U18ME216,7.44
U18ME217,8.60
U18ME218,7.28
U18ME219,9.04
U18ME220,7.72
U18ME221,7.40
U18ME222,9.04
U18ME223,6.50
U18ME224,8.52
U18ME225,6.84
U18ME226,6.56
U18ME227,6.12
U18ME228,9.36
U18ME229,8.92
U18ME230,8.52
U18ME231,7.8
U18ME232,7.8
U18ME233,7.48
U18ME234,7.6
U18ME235,7.56
U18ME236,7.56
U18ME237,7.28
